ID,Year_Birth,Education,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,Customer_Tenure_Days,Total_Spend,Total_Purchases,Total_Campaigns_Accepted,Total_Children,Avg_Spend_Per_Purchase,Education_Encoded,Marital_Divorced,Marital_Married,Marital_Single,Marital_Together,Marital_Widow,Cluster
9736,1980,Graduation,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,34,552,96,9,0,2,10.666666666666666,2,False,True,False,False,False,0
4939,1946,Graduation,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,68,667,317,13,0,0,24.384615384615383,2,False,False,False,True,False,0
6565,1949,Master,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,65,458,1782,26,1,1,68.53846153846153,3,False,True,False,False,False,2
2278,1985,2n Cycle,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,29,603,133,8,0,1,16.625,1,False,False,True,False,False,0
9360,1982,Graduation,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,32,690,316,12,0,0,26.333333333333332,2,False,True,False,False,False,0
5376,1979,Graduation,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,35,539,1730,43,0,1,40.23255813953488,2,False,True,False,False,False,2
1993,1949,PhD,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,65,553,972,17,1,1,57.1764705882353,4,False,True,False,False,False,1
4047,1954,PhD,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,60,169,544,20,0,1,27.2,4,False,True,False,False,False,1
1409,1951,Graduation,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,63,468,444,20,0,1,22.2,2,False,False,False,True,False,1
7892,1969,Graduation,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,45,543,75,8,0,0,9.375,2,False,False,True,False,False,0
2404,1976,Graduation,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,38,398,257,14,0,2,18.357142857142858,2,False,True,False,False,False,0
5255,1986,Graduation,51381.5,1,0,2013-02-20,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,0,28,494,637,27,0,1,23.59259259259259,2,False,False,True,False,False,2
9422,1989,Graduation,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,25,394,131,9,0,1,14.555555555555555,2,False,True,False,False,False,0
1966,1965,PhD,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,49,219,1672,26,1,0,64.3076923076923,4,False,True,False,False,False,2
6864,1989,Master,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,25,38,30,8,0,0,3.75,3,True,False,False,False,False,0
3033,1963,Master,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,51,414,318,11,0,0,28.90909090909091,3,False,False,False,True,False,0
5710,1970,Graduation,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,44,627,120,9,1,1,13.333333333333334,2,False,False,False,True,False,0
7373,1952,PhD,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,62,608,302,17,1,2,17.764705882352942,4,True,False,False,False,False,1
8755,1946,Master,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,68,494,1196,18,0,0,66.44444444444444,3,False,True,False,False,False,2
10738,1951,Master,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,63,304,65,6,0,2,10.833333333333334,3,False,False,True,False,False,0
4339,1970,PhD,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,44,180,913,28,0,1,32.607142857142854,4,False,True,False,False,False,1
10755,1976,2n Cycle,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,38,300,81,9,0,1,9.0,1,False,True,False,False,False,0
8595,1973,Graduation,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,41,138,67,7,0,1,9.571428571428571,2,False,False,False,False,True,0
2968,1943,PhD,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,71,513,902,24,2,0,37.583333333333336,4,True,False,False,False,False,3
8601,1980,Graduation,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,34,426,1395,21,0,1,66.42857142857143,2,False,True,False,False,False,2
503,1985,Master,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,29,474,53,7,0,1,7.571428571428571,3,False,True,False,False,False,0
8430,1957,Graduation,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,57,552,22,4,0,1,5.5,2,False,False,False,True,False,0
7281,1959,PhD,51381.5,0,0,2013-11-05,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,55,236,186,9,0,0,20.666666666666668,4,False,False,True,False,False,0
2139,1975,Master,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,39,270,31,8,0,1,3.875,3,False,True,False,False,False,0
1371,1976,Graduation,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,38,1,984,16,0,0,61.5,2,False,False,True,False,False,2
9909,1996,2n Cycle,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,18,597,122,10,1,0,12.2,1,False,True,False,False,False,0
7286,1968,Graduation,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,46,401,55,5,0,1,11.0,2,False,False,False,True,False,0
7244,1951,Graduation,51381.5,2,1,2014-01-01,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,63,179,124,10,0,3,12.4,2,False,False,True,False,False,0
6566,1954,PhD,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,60,598,1319,28,0,2,47.107142857142854,4,False,True,False,False,False,1
8614,1957,Graduation,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,57,48,507,17,0,1,29.823529411764707,2,False,False,False,False,True,1
4114,1964,Master,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,50,687,1693,29,0,0,58.37931034482759,3,False,True,False,False,False,2
1331,1977,Graduation,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,37,543,72,7,0,1,10.285714285714286,2,False,False,True,False,False,0
2225,1977,Graduation,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,37,22,1617,21,3,0,77.0,2,True,False,False,False,False,3
9381,1978,Graduation,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,36,382,606,23,0,2,26.347826086956523,2,False,True,False,False,False,1
6260,1955,Master,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,59,587,1957,27,2,0,72.48148148148148,3,False,False,False,True,False,3
10383,1966,Graduation,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,48,453,1093,21,1,0,52.04761904761905,2,True,False,False,False,False,2
7437,1988,Graduation,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,26,62,29,6,0,1,4.833333333333333,2,False,False,True,False,False,0
8557,1982,Graduation,51381.5,1,0,2013-06-17,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,32,377,46,7,0,1,6.571428571428571,2,False,False,True,False,False,0
8375,1968,PhD,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,46,118,518,19,0,1,27.263157894736842,4,False,True,False,False,False,1
6853,1982,Master,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,32,360,1438,21,3,0,68.47619047619048,3,False,False,True,False,False,3
3076,1975,Graduation,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,39,660,612,22,0,2,27.818181818181817,2,False,False,False,True,False,1
1012,1952,Graduation,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,62,496,884,24,0,1,36.833333333333336,2,False,False,True,False,False,1
6518,1951,PhD,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,63,383,606,19,0,1,31.894736842105264,4,False,False,False,False,True,1
4137,1948,Graduation,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,66,205,1076,16,0,0,67.25,2,False,False,False,True,False,2
8082,1971,Graduation,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,43,404,34,5,1,1,6.8,2,False,True,False,False,False,0
1386,1967,Graduation,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,47,49,11,4,0,2,2.75,2,False,False,False,True,False,0
9369,1979,2n Cycle,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,35,102,1274,32,3,1,39.8125,1,False,False,True,False,False,3
4477,1958,Graduation,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,56,275,653,18,0,1,36.27777777777778,2,False,False,False,True,False,1
1357,1970,Graduation,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,44,447,1562,19,0,3,82.21052631578948,2,False,False,False,True,False,1
1402,1954,Master,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,60,656,1253,21,0,0,59.666666666666664,3,False,True,False,False,False,2
10629,1973,2n Cycle,51381.5,1,0,2012-09-14,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,41,653,109,9,0,1,12.11111111111111,1,False,True,False,False,False,0
6312,1959,Graduation,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,55,469,863,30,0,1,28.766666666666666,2,False,True,False,False,False,1
8132,1975,PhD,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,39,450,661,24,1,2,27.541666666666668,4,False,True,False,False,False,1
1050,1952,Graduation,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,62,60,65,8,0,0,8.125,2,False,True,False,False,False,0
5846,1977,Graduation,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,37,557,13,4,0,1,3.25,2,True,False,False,False,False,0
1859,1972,Master,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,42,671,1890,19,1,0,99.47368421052632,3,False,True,False,False,False,2
7503,1976,Graduation,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,38,625,2209,22,2,0,100.4090909090909,2,False,False,True,False,False,3
10401,1976,2n Cycle,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,38,298,18,4,0,0,4.5,1,False,False,False,True,False,0
1618,1965,Graduation,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,49,543,692,21,2,0,32.95238095238095,2,False,False,False,True,False,1
3332,1985,Graduation,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,29,669,165,12,0,1,13.75,2,False,False,True,False,False,0
2261,1969,Graduation,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,45,371,16,4,0,1,4.0,2,False,True,False,False,False,0
5346,1973,2n Cycle,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,41,361,79,9,0,1,8.777777777777779,1,False,True,False,False,False,0
4119,1963,Master,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,51,414,318,11,0,0,28.90909090909091,3,False,False,False,True,False,0
535,1987,Graduation,81361.0,0,0,2014-02-25,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,27,124,778,27,0,0,28.814814814814813,2,True,False,False,False,False,2
5268,1960,Graduation,29440.0,1,1,2013-08-11,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,54,322,56,7,0,2,8.0,2,False,True,False,False,False,0
273,1970,Master,36138.0,1,1,2013-07-16,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,44,348,151,13,1,2,11.615384615384615,3,False,True,False,False,False,0
4452,1957,Graduation,50388.0,0,1,2014-05-28,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,57,32,372,17,3,1,21.88235294117647,2,False,False,True,False,False,1
8504,1973,Graduation,79593.0,0,0,2014-05-12,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,41,48,1366,19,1,0,71.89473684210526,2,False,True,False,False,False,2
771,1967,Graduation,54178.0,0,1,2014-01-21,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,47,159,194,10,0,1,19.4,2,False,False,False,True,False,0
8996,1957,PhD,51381.5,2,1,2012-11-19,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,57,587,603,29,0,3,20.79310344827586,4,False,True,False,False,False,1
9235,1957,Graduation,51381.5,1,1,2014-05-27,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,57,33,18,4,0,2,4.5,2,False,False,True,False,False,0
5798,1973,Master,51381.5,0,0,2013-11-23,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,41,218,985,15,0,0,65.66666666666667,3,False,False,False,True,False,2
11178,1972,Master,42394.0,1,0,2014-03-23,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,42,98,32,5,0,1,6.4,3,False,False,True,False,False,0
2230,1970,PhD,23626.0,1,0,2014-05-24,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,44,36,43,10,0,1,4.3,4,False,True,False,False,False,0
7516,1983,Graduation,30096.0,1,0,2014-05-22,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,31,38,45,6,0,1,7.5,2,False,True,False,False,False,0
7247,1960,Graduation,47916.0,0,1,2012-11-22,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,54,584,606,22,1,1,27.545454545454547,2,False,False,False,False,True,1
11100,1972,Graduation,51813.0,1,1,2013-04-11,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,42,444,63,7,0,2,9.0,2,True,False,False,False,False,0
4646,1951,2n Cycle,78497.0,0,0,2013-12-01,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,63,210,978,25,1,0,39.12,1,False,True,False,False,False,2
3037,1983,PhD,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,31,374,410,16,0,0,25.625,4,False,True,False,False,False,1
1473,1960,2n Cycle,47823.0,0,1,2013-07-23,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,54,341,72,7,0,1,10.285714285714286,1,False,False,True,False,False,0
1016,1959,PhD,34554.0,0,1,2014-03-30,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,55,91,55,7,0,1,7.857142857142857,4,False,False,True,False,False,0
4518,1979,Graduation,85693.0,0,1,2013-04-20,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,35,435,1169,27,0,1,43.2962962962963,2,False,False,False,True,False,2
9370,1945,PhD,65846.0,0,0,2013-05-17,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,69,408,1120,16,0,0,70.0,4,False,True,False,False,False,2
8908,1959,Graduation,87195.0,0,0,2014-05-08,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,55,52,1097,20,1,0,54.85,2,False,True,False,False,False,2
8373,1979,Basic,24594.0,1,0,2013-12-10,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,35,201,29,5,0,1,5.8,0,False,False,False,True,False,0
7533,1964,Graduation,49096.0,1,1,2013-09-24,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,50,278,187,13,0,2,14.384615384615385,2,False,True,False,False,False,0
2683,1969,Graduation,52413.0,0,2,2013-02-02,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,45,512,910,26,0,2,35.0,2,False,True,False,False,False,1
3629,1978,Graduation,38557.0,1,0,2012-12-19,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,36,557,145,9,0,1,16.11111111111111,2,False,False,True,False,False,0
10991,1960,Master,89058.0,0,0,2012-12-07,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,54,569,850,14,0,0,60.714285714285715,3,False,True,False,False,False,2
5077,1979,Graduation,77298.0,0,1,2013-11-02,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,35,239,969,24,0,1,40.375,2,False,False,False,True,False,2
7431,1991,PhD,68126.0,0,0,2012-11-10,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,23,596,1820,17,2,0,107.05882352941177,4,False,False,True,False,False,3
3267,1963,Master,57288.0,0,1,2014-06-25,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,51,4,608,20,1,1,30.4,3,False,False,False,True,False,1
999,1991,Graduation,86037.0,0,0,2013-01-02,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,23,543,730,25,3,0,29.2,2,False,False,True,False,False,3
9215,1980,PhD,43974.0,1,0,2012-12-12,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,34,564,551,21,0,1,26.238095238095237,4,False,True,False,False,False,1
2286,1962,Graduation,50785.0,1,1,2013-09-10,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,52,292,114,8,0,2,14.25,2,False,False,True,False,False,0
1592,1970,Graduation,90765.0,0,0,2014-01-24,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,44,156,1724,15,2,0,114.93333333333334,2,False,True,False,False,False,3
367,1978,2n Cycle,36550.0,1,0,2013-02-19,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,36,495,577,20,0,1,28.85,1,False,True,False,False,False,1
5234,1967,2n Cycle,30753.0,1,1,2013-07-11,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,47,353,81,7,0,2,11.571428571428571,1,False,False,False,True,False,0
9862,1969,Graduation,21918.0,1,0,2013-11-14,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,45,227,33,7,0,1,4.714285714285714,2,False,False,False,True,False,0
9805,1953,Master,56129.0,0,1,2013-06-20,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,61,374,660,22,0,1,30.0,3,False,False,False,True,False,1
6205,1967,Master,32557.0,1,0,2014-02-24,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,47,125,80,9,1,1,8.88888888888889,3,False,False,True,False,False,0
8442,1985,Master,19510.0,2,0,2013-09-04,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,29,298,30,6,0,2,5.0,3,False,True,False,False,False,0
7386,1976,Graduation,30992.0,1,0,2013-04-22,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,38,433,43,5,0,1,8.6,2,True,False,False,False,False,0
7215,1983,Graduation,101970.0,0,0,2013-03-12,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,31,474,1135,27,4,0,42.03703703703704,2,False,False,True,False,False,3
1491,1965,2n Cycle,71488.0,0,0,2013-02-18,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,49,496,559,16,0,0,34.9375,1,False,False,False,True,False,2
11071,1984,Graduation,79607.0,0,0,2013-04-21,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,30,434,1923,16,1,0,120.1875,2,False,False,True,False,False,2
3381,1953,Master,54348.0,1,1,2014-06-08,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,61,21,90,8,0,2,11.25,3,False,True,False,False,False,0
8268,1961,PhD,51381.5,0,1,2013-07-11,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,53,353,404,17,0,1,23.764705882352942,4,False,True,False,False,False,1
11051,1956,PhD,77376.0,1,1,2014-05-10,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,58,50,661,23,0,2,28.73913043478261,4,False,False,False,True,False,1
8026,1952,Graduation,62998.0,0,1,2013-09-30,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,62,272,463,19,0,1,24.36842105263158,2,False,True,False,False,False,1
433,1958,Master,61331.0,1,1,2013-03-10,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,56,476,632,23,0,2,27.47826086956522,3,False,False,True,False,False,1
9597,1969,Graduation,73448.0,0,0,2014-02-10,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,45,139,725,19,0,0,38.1578947368421,2,False,True,False,False,False,2
1295,1963,Graduation,51381.5,0,1,2013-08-11,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,51,322,725,19,0,1,38.1578947368421,2,False,True,False,False,False,1
5290,1964,PhD,41551.0,1,1,2013-08-14,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,50,319,279,16,0,2,17.4375,4,False,True,False,False,False,1
1685,1967,PhD,62981.0,0,0,2013-03-17,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,47,469,1482,23,1,0,64.43478260869566,4,False,False,False,True,False,2
5342,1976,Basic,9548.0,1,0,2012-08-08,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,38,690,29,6,0,1,4.833333333333333,0,True,False,False,False,False,0
